item,no,px,py,pz
node,1,0,0,60000
node,2,0,6000,60000
node,3,0,12000,60000
node,4,0,18000,60000
node,5,6000,0,60000
node,6,6000,6000,60000
node,7,6000,12000,60000
node,8,6000,18000,60000
node,9,12000,0,60000
node,10,12000,6000,60000
node,11,12000,12000,60000
node,12,12000,18000,60000
node,13,18000,0,60000
node,14,18000,6000,60000
node,15,18000,12000,60000
node,16,18000,18000,60000
node,17,0,0,57000
node,18,0,6000,57000
node,19,0,12000,57000
node,20,0,18000,57000
node,21,6000,0,57000
node,22,6000,6000,57000
node,23,6000,12000,57000
node,24,6000,18000,57000
node,25,12000,0,57000
node,26,12000,6000,57000
node,27,12000,12000,57000
node,28,12000,18000,57000
node,29,18000,0,57000
node,30,18000,6000,57000
node,31,18000,12000,57000
node,32,18000,18000,57000
node,33,0,0,54000
node,34,0,6000,54000
node,35,0,12000,54000
node,36,0,18000,54000
node,37,6000,0,54000
node,38,6000,6000,54000
node,39,6000,12000,54000
node,40,6000,18000,54000
node,41,12000,0,54000
node,42,12000,6000,54000
node,43,12000,12000,54000
node,44,12000,18000,54000
node,45,18000,0,54000
node,46,18000,6000,54000
node,47,18000,12000,54000
node,48,18000,18000,54000
node,49,0,0,51000
node,50,0,6000,51000
node,51,0,12000,51000
node,52,0,18000,51000
node,53,6000,0,51000
node,54,6000,6000,51000
node,55,6000,12000,51000
node,56,6000,18000,51000
node,57,12000,0,51000
node,58,12000,6000,51000
node,59,12000,12000,51000
node,60,12000,18000,51000
node,61,18000,0,51000
node,62,18000,6000,51000
node,63,18000,12000,51000
node,64,18000,18000,51000
node,65,0,0,48000
node,66,0,6000,48000
node,67,0,12000,48000
node,68,0,18000,48000
node,69,6000,0,48000
node,70,6000,6000,48000
node,71,6000,12000,48000
node,72,6000,18000,48000
node,73,12000,0,48000
node,74,12000,6000,48000
node,75,12000,12000,48000
node,76,12000,18000,48000
node,77,18000,0,48000
node,78,18000,6000,48000
node,79,18000,12000,48000
node,80,18000,18000,48000
node,81,0,0,45000
node,82,0,6000,45000
node,83,0,12000,45000
node,84,0,18000,45000
node,85,6000,0,45000
node,86,6000,6000,45000
node,87,6000,12000,45000
node,88,6000,18000,45000
node,89,12000,0,45000
node,90,12000,6000,45000
node,91,12000,12000,45000
node,92,12000,18000,45000
node,93,18000,0,45000
node,94,18000,6000,45000
node,95,18000,12000,45000
node,96,18000,18000,45000
node,97,0,0,42000
node,98,0,6000,42000
node,99,0,12000,42000
node,100,0,18000,42000
node,101,6000,0,42000
node,102,6000,6000,42000
node,103,6000,12000,42000
node,104,6000,18000,42000
node,105,12000,0,42000
node,106,12000,6000,42000
node,107,12000,12000,42000
node,108,12000,18000,42000
node,109,18000,0,42000
node,110,18000,6000,42000
node,111,18000,12000,42000
node,112,18000,18000,42000
node,113,0,0,39000
node,114,0,6000,39000
node,115,0,12000,39000
node,116,0,18000,39000
node,117,6000,0,39000
node,118,6000,6000,39000
node,119,6000,12000,39000
node,120,6000,18000,39000
node,121,12000,0,39000
node,122,12000,6000,39000
node,123,12000,12000,39000
node,124,12000,18000,39000
node,125,18000,0,39000
node,126,18000,6000,39000
node,127,18000,12000,39000
node,128,18000,18000,39000
node,129,0,0,36000
node,130,0,6000,36000
node,131,0,12000,36000
node,132,0,18000,36000
node,133,6000,0,36000
node,134,6000,6000,36000
node,135,6000,12000,36000
node,136,6000,18000,36000
node,137,12000,0,36000
node,138,12000,6000,36000
node,139,12000,12000,36000
node,140,12000,18000,36000
node,141,18000,0,36000
node,142,18000,6000,36000
node,143,18000,12000,36000
node,144,18000,18000,36000
node,145,0,0,33000
node,146,0,6000,33000
node,147,0,12000,33000
node,148,0,18000,33000
node,149,6000,0,33000
node,150,6000,6000,33000
node,151,6000,12000,33000
node,152,6000,18000,33000
node,153,12000,0,33000
node,154,12000,6000,33000
node,155,12000,12000,33000
node,156,12000,18000,33000
node,157,18000,0,33000
node,158,18000,6000,33000
node,159,18000,12000,33000
node,160,18000,18000,33000
node,161,0,0,30000
node,162,0,6000,30000
node,163,0,12000,30000
node,164,0,18000,30000
node,165,6000,0,30000
node,166,6000,6000,30000
node,167,6000,12000,30000
node,168,6000,18000,30000
node,169,12000,0,30000
node,170,12000,6000,30000
node,171,12000,12000,30000
node,172,12000,18000,30000
node,173,18000,0,30000
node,174,18000,6000,30000
node,175,18000,12000,30000
node,176,18000,18000,30000
node,177,0,0,27000
node,178,0,6000,27000
node,179,0,12000,27000
node,180,0,18000,27000
node,181,6000,0,27000
node,182,6000,6000,27000
node,183,6000,12000,27000
node,184,6000,18000,27000
node,185,12000,0,27000
node,186,12000,6000,27000
node,187,12000,12000,27000
node,188,12000,18000,27000
node,189,18000,0,27000
